ID,REGIÓN,PROVINCIA,DISTRITO,Codigo del Recurso,Nombre del Recurso,CATEGORIA,Tipo de Categoria,Sub tipo Categoria,URL,LATITUD,LONGITUD
1310,Cusco,Cusco,CUSCO,"3,708",Barrio Tradicional De Santa Ana,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Barrios tradicionales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3708,-71.98556542396545,-13.514601243677228
1311,Huanuco,Yarowilca,OBAS,"3,710",Sitio Arqueológico De Kallapahuari,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3710,-76.66619181632995,-9.795307548009871
1312,Huanuco,Yarowilca,OBAS,"3,712",Sitio Arqueológico De Yarush,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3712,-76.66674971580505,-9.833514105294961
1313,Huanuco,Yarowilca,OBAS,"3,713",Sitio Arqueológico De Tumanhuari,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3713,-76.68650686740875,-9.841754260607984
1314,Huanuco,Yarowilca,OBAS,"3,714",Sitio Arqueológico De Umpash,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3714,-76.66171789169311,-9.817360902247227
1315,Huanuco,Yarowilca,OBAS,"3,716",Mirador Castillo,1. SITIOS NATURALES,Zonas paisajísticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3716,-76.69780969619751,-9.88055263652454
1316,Huanuco,Yarowilca,OBAS,"3,717",Sitio Arqueológico De Panteón Ragra,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3717,-76.68923735618591,-9.839211938267137
1317,Huanuco,Yarowilca,OBAS,"3,718",Mirador Natural Jajrash,1. SITIOS NATURALES,Zonas paisajísticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3718,-76.68722000000002,-9.802528
1318,Junín,Jauja,PARCO,"3,723",Centro Arqueologico De Huacjlasmarca,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3723,-75.56859970092773,-11.794180449685363
1319,Lambayeque,Ferreñafe,FERREÑAFE,"3,724",Parque Zoológico De Ferreñafe,"4. REALIZACIONES TÉCNICAS, CIENTÍFICAS Y ARTÍSTICAS CONTEMPORÁNEAS",Centros Científicos y Técnicos,Zoológicos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3724,-79.78224887235262,-6.6283033293903815
1320,Lambayeque,Ferreñafe,FERREÑAFE,"3,725",Casona Los Portales,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Casa de Valor Arquitectónico,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3725,-79.78800206853032,-6.637806213130005
1321,Lambayeque,Chiclayo,SAÑA,"3,743",Museo Afroperuano,2. MANIFESTACIONES CULTURALES,Museos y otros,Museos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3743,-79.58497019492933,-6.922431234554765
1322,Lambayeque,Chiclayo,ETEN PUERTO,"3,744",Playa El Ensueño,1. SITIOS NATURALES,Costas,Playas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3744,-79.86845005291747,-6.929886946894787
1323,Lambayeque,Chiclayo,SAÑA,"3,747",Sitio Arqueologico Cerro Corbacho,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3747,-79.56727300265504,-6.930180376362033
1324,Lambayeque,Chiclayo,ETEN PUERTO,"3,749",Estación Ferroviaria,2. MANIFESTACIONES CULTURALES,Lugares Históricos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3749,-79.86622808580245,-6.925559112623198
1325,Lambayeque,Chiclayo,SAÑA,"3,752",Iglesia La Merced,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3752,-79.58709301112282,-6.92623756686607
1326,Lambayeque,Chiclayo,SAÑA,"3,753",Iglesia San Francisco,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3753,-79.58288933498761,-6.9275831211890555
1327,Lambayeque,Chiclayo,SAÑA,"3,754",Iglesia Matriz De Saña,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3754,-79.5833489298821,-6.924041121155904
1328,Lambayeque,Chiclayo,PIMENTEL,"3,755",Criadero De Avestruces,"4. REALIZACIONES TÉCNICAS, CIENTÍFICAS Y ARTÍSTICAS CONTEMPORÁNEAS",Centros Científicos y Técnicos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3755,-79.9405392343399,-6.812524134713603
1329,Lambayeque,Chiclayo,SAÑA,"3,756",Convento San Agustín.,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Convento,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3756,-79.58507902479124,-6.92474333247729
1330,Lambayeque,Lambayeque,MOTUPE,"3,771",Iglesia San Julián,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3771,-79.71710941713104,-6.154160889113437
